question,horizon,condition,fresh_probability,authors_panel_median,fresh_paired_multiplier,authors_panel_paired_multiplier
ladder:ai:100,2030,sq,0.9997,0.99775,1.000200100050025,1.0001002662607548
ladder:ai:100,2030,p1,0.9998,0.99785,1.0003001500750375,1.0000750196927748
ladder:ai:100,2030,p2a,0.999,0.9969,0.9994997498749374,0.9997996690882525
ladder:ai:100,2030,p2b,0.997,0.9959,0.9974987493746873,0.9990491625375323
ladder:ai:100,2030,p3a,0.996,0.9964,0.9964982491245622,0.9990491625375323
ladder:ai:100,2030,p3b,0.991,0.9954000000000001,0.9914957478739369,0.997997545404245
ladder:ai:100,2030,p4,0.995,0.9963500000000001,0.9954977488744372,0.9989990484614787
ladder:ai:100,2030,p5,0.98,0.9943500000000001,0.9804902451225612,0.9968449806217945
ladder:ai:100,2030,eci_p10,0.998,0.99575,0.9984992496248124,0.9989987462584199
ladder:ai:100,2030,eci_p25,0.999,0.99695,0.9994997498749374,0.9995995987380591
ladder:ai:100,2030,eci_p50,0.9995,0.9975,1.0,1.0
ladder:ai:100,2030,eci_p75,0.9997,0.99805,1.000200100050025,1.0001001654558461
ladder:ai:100,2030,eci_p90,0.9999,0.99835,1.00040020010005,1.0002504800922272
ladder:ai:100,2050,unconditional,0.9999,0.9994000000000001,1.0,1.0
ladder:ai:100,2050,sq,0.99995,0.999425,1.0000500050005001,1.0000350053884617
ladder:ai:100,2050,p1,0.99996,0.99945,1.0000600060006,1.000015000637528
ladder:ai:100,2050,p2a,0.9998,0.9993000000000001,0.9998999899989999,0.9999249884351948
ladder:ai:100,2050,p2b,0.9995,0.9992000000000001,0.9995999599959996,0.9998998497495479
ladder:ai:100,2050,p3a,0.9994,0.99925,0.9994999499949995,0.9998999474498238
ladder:ai:100,2050,p3b,0.999,0.99915,0.9990999099909991,0.9998248907433372
ladder:ai:100,2050,p4,0.9993,0.99925,0.9993999399939993,0.9998999474498238
ladder:ai:100,2050,p5,0.997,0.9984,0.9970997099709971,0.9996748808454025
ladder:ai:100,2050,eci_p10,0.9997,0.9992,0.9997999799979999,0.9998748957392795
ladder:ai:100,2050,eci_p25,0.9998,0.9993000000000001,0.9998999899989999,0.9999749984373985
ladder:ai:100,2050,eci_p50,0.9999,0.9994000000000001,1.0,1.0
ladder:ai:100,2050,eci_p75,0.99995,0.99945,1.0000500050005001,1.0000100004500205
ladder:ai:100,2050,eci_p90,0.99997,0.999475,1.0000700070007,1.0000651003344927
ladder:ai:100,2100,unconditional,0.99995,0.99945,1.0,1.0
ladder:ai:100,2100,sq,0.99998,0.999465,1.000030001500075,1.0000050001375038
ladder:ai:100,2100,p1,0.99998,0.999475,1.000030001500075,1.0000100002500065
ladder:ai:100,2100,p2a,0.9999,0.999425,0.999949997499875,0.9999899996499875
ladder:ai:100,2100,p2b,0.9998,0.999375,0.999849992499625,0.9999649983374103
ladder:ai:100,2100,p3a,0.9998,0.9994000000000001,0.999849992499625,0.9999649983374103
ladder:ai:100,2100,p3b,0.9995,0.99935,0.999549977498875,0.9998899481003718
ladder:ai:100,2100,p4,0.9997,0.9994000000000001,0.999749987499375,0.9999649983374103
ladder:ai:100,2100,p5,0.999,0.99895,0.9990499524976248,0.9998649467889523
ladder:ai:100,2100,eci_p10,0.9999,0.99935,0.999949997499875,0.9999149487866726
ladder:ai:100,2100,eci_p25,0.99993,0.999425,0.9999799989999499,0.9999899996499875
ladder:ai:100,2100,eci_p50,0.99995,0.99945,1.0,1.0
ladder:ai:100,2100,eci_p75,0.99997,0.999475,1.00002000100005,1.0000050001375038
ladder:ai:100,2100,eci_p90,0.99999,0.999485,1.0000400020001001,1.0000100002500065
ladder:ai:1k,6mo,unconditional,0.65,0.565,1.0,1.0
ladder:ai:1k,6mo,sq,0.65,0.565,1.0,1.0047830816130865
ladder:ai:1k,6mo,p1,0.67,0.575,1.0307692307692309,1.0227157418288206
ladder:ai:1k,6mo,p2a,0.59,0.544,0.9076923076923076,0.9621404708847278
ladder:ai:1k,6mo,p2b,0.54,0.534,0.8307692307692308,0.9309186801440262
ladder:ai:1k,6mo,p3a,0.51,0.5165,0.7846153846153846,0.9335230053218836
ladder:ai:1k,6mo,p3b,0.44,0.4955,0.6769230769230768,0.8802472180218264
ladder:ai:1k,6mo,p4,0.49,0.518,0.7538461538461538,0.9284277149988694
ladder:ai:1k,6mo,p5,0.35,0.4655,0.5384615384615383,0.8044746653434695
ladder:ai:1k,6mo,eci_p10,0.49,0.48050000000000004,0.7538461538461538,0.855967883516972
ladder:ai:1k,6mo,eci_p25,0.57,0.5155000000000001,0.8769230769230768,0.9433393378458583
ladder:ai:1k,6mo,eci_p50,0.64,0.555,0.9846153846153847,1.0
ladder:ai:1k,6mo,eci_p75,0.73,0.6055,1.123076923076923,1.0799252680046365
ladder:ai:1k,6mo,eci_p90,0.81,0.6655,1.2461538461538462,1.1766371088167962
ladder:ai:1k,12mo,unconditional,0.82,0.7849999999999999,1.0,1.0
ladder:ai:1k,12mo,sq,0.84,0.79,1.024390243902439,1.0127805881336902
ladder:ai:1k,12mo,p1,0.85,0.8,1.0365853658536586,1.0225239330929936
ladder:ai:1k,12mo,p2a,0.77,0.7535,0.9390243902439025,0.962515014103262
ladder:ai:1k,12mo,p2b,0.7,0.7170000000000001,0.8536585365853658,0.9108771415764942
ladder:ai:1k,12mo,p3a,0.68,0.71,0.8292682926829269,0.9240276364903129
ladder:ai:1k,12mo,p3b,0.59,0.667,0.7195121951219512,0.8706571888336726
ladder:ai:1k,12mo,p4,0.66,0.7235,0.8048780487804879,0.9204734861450168
ladder:ai:1k,12mo,p5,0.48,0.61,0.5853658536585367,0.779680830226951
ladder:ai:1k,12mo,eci_p10,0.69,0.675,0.8414634146341463,0.8829433413369963
ladder:ai:1k,12mo,eci_p25,0.76,0.728,0.926829268292683,0.9543811468663742
ladder:ai:1k,12mo,eci_p50,0.82,0.7749999999999999,1.0,1.0
ladder:ai:1k,12mo,eci_p75,0.88,0.8285,1.0731707317073171,1.0596574202705866
ladder:ai:1k,12mo,eci_p90,0.93,0.853,1.1341463414634148,1.119744199805417
ladder:ai:1k,2028,unconditional,0.95,0.945,1.0,1.0
ladder:ai:1k,2028,sq,0.965,0.9524999999999999,1.0157894736842106,1.00791936967551
ladder:ai:1k,2028,p1,0.97,0.955,1.0210526315789474,1.0115458882258195
ladder:ai:1k,2028,p2a,0.925,0.9395,0.9736842105263159,0.9941936695793123
ladder:ai:1k,2028,p2b,0.88,0.922,0.9263157894736843,0.9755923918920142
ladder:ai:1k,2028,p3a,0.86,0.9125000000000001,0.9052631578947369,0.9754147105407605
ladder:ai:1k,2028,p3b,0.78,0.891,0.8210526315789475,0.9514582993842452
ladder:ai:1k,2028,p4,0.85,0.923,0.8947368421052632,0.9766363647877115
ladder:ai:1k,2028,p5,0.66,0.8485,0.6947368421052632,0.9025864776719325
ladder:ai:1k,2028,eci_p10,0.88,0.896,0.9263157894736843,0.9477621428962433
ladder:ai:1k,2028,eci_p25,0.92,0.926,0.9684210526315791,0.979887325835265
ladder:ai:1k,2028,eci_p50,0.95,0.943,1.0,1.0
ladder:ai:1k,2028,eci_p75,0.971,0.956,1.0221052631578948,1.0157940864072026
ladder:ai:1k,2028,eci_p90,0.985,0.967,1.036842105263158,1.028966800422531
ladder:ai:1k,2030,unconditional,0.98,0.9824999999999999,1.0,1.0
ladder:ai:1k,2030,sq,0.989,0.985,1.0091836734693878,1.0040969095805248
ladder:ai:1k,2030,p1,0.991,0.9864999999999999,1.0112244897959184,1.0045619212840475
ladder:ai:1k,2030,p2a,0.97,0.9795,0.9897959183673469,0.9979642739128453
ladder:ai:1k,2030,p2b,0.94,0.969,0.9591836734693877,0.9903238816951985
ladder:ai:1k,2030,p3a,0.93,0.9684999999999999,0.9489795918367347,0.9933452037824267
ladder:ai:1k,2030,p3b,0.88,0.962,0.8979591836734694,0.9866775085030668
ladder:ai:1k,2030,p4,0.925,0.9715,0.9438775510204083,0.9933452037824267
ladder:ai:1k,2030,p5,0.79,0.9405,0.8061224489795918,0.9643988915200363
ladder:ai:1k,2030,eci_p10,0.95,0.959,0.9693877551020408,0.9836021425540639
ladder:ai:1k,2030,eci_p25,0.968,0.9755,0.9877551020408163,0.9938507546574269
ladder:ai:1k,2030,eci_p50,0.98,0.9824999999999999,1.0,1.0
ladder:ai:1k,2030,eci_p75,0.989,0.987,1.0091836734693878,1.00560685961338
ladder:ai:1k,2030,eci_p90,0.995,0.9895,1.0153061224489797,1.010211185909265
ladder:ai:1k,2050,unconditional,0.997,0.9964999999999999,1.0,1.0
ladder:ai:1k,2050,sq,0.999,0.99715,1.0020060180541626,1.0006523586886782
ladder:ai:1k,2050,p1,0.9992,0.99705,1.0022066198595787,1.0005515241273235
ladder:ai:1k,2050,p2a,0.994,0.9959,0.9969909729187563,0.9995484927473912
ladder:ai:1k,2050,p2b,0.985,0.9946999999999999,0.9879638916750251,0.998595805692269
ladder:ai:1k,2050,p3a,0.985,0.9948,0.9879638916750251,0.9986460255019863
ladder:ai:1k,2050,p3b,0.97,0.9939,0.9729187562688064,0.9973919929523003
ladder:ai:1k,2050,p4,0.982,0.9946999999999999,0.9849548645937813,0.9986962427863819
ladder:ai:1k,2050,p5,0.94,0.9894499999999999,0.9428284854563691,0.9929203273817745
ladder:ai:1k,2050,eci_p10,0.991,0.994,0.9939819458375125,0.9970406660348379
ladder:ai:1k,2050,eci_p25,0.994,0.99545,0.9969909729187563,0.9991472280557491
ladder:ai:1k,2050,eci_p50,0.997,0.9964999999999999,1.0,1.0
ladder:ai:1k,2050,eci_p75,0.998,0.9973000000000001,1.0010030090270812,1.0008024896586316
ladder:ai:1k,2050,eci_p90,0.999,0.9978,1.0020060180541626,1.0013044130472206
ladder:ai:1k,2100,unconditional,0.999,0.9982500000000001,1.0,1.0
ladder:ai:1k,2100,sq,0.9995,0.9984500000000001,1.0005005005005005,1.0001500637779501
ladder:ai:1k,2100,p1,0.9996,0.9984,1.0006006006006007,1.0001501992315698
ladder:ai:1k,2100,p2a,0.998,0.9981,0.998998998998999,0.9998498082879682
ladder:ai:1k,2100,p2b,0.994,0.9979,0.994994994994995,0.999549271905223
ladder:ai:1k,2100,p3a,0.995,0.99795,0.995995995995996,0.9996994736083482
ladder:ai:1k,2100,p3b,0.99,0.9974000000000001,0.990990990990991,0.9993489209896573
ladder:ai:1k,2100,p4,0.994,0.99795,0.994994994994995,0.9996994736083482
ladder:ai:1k,2100,p5,0.98,0.99605,0.980980980980981,0.9977969242582149
ladder:ai:1k,2100,eci_p10,0.997,0.99775,0.997997997997998,0.9993488254945662
ladder:ai:1k,2100,eci_p25,0.998,0.99805,0.998998998998999,0.9996994886218515
ladder:ai:1k,2100,eci_p50,0.999,0.9982500000000001,1.0,1.0
ladder:ai:1k,2100,eci_p75,0.9993,0.9984500000000001,1.0003003003003004,1.0002000900410188
ladder:ai:1k,2100,eci_p90,0.9996,0.998675,1.0006006006006007,1.0003001363122785
ladder:ai:10k,6mo,unconditional,0.18,0.1,1.0,1.0
ladder:ai:10k,6mo,sq,0.18,0.10400000000000001,1.0,1.0046437631862803
ladder:ai:10k,6mo,p1,0.19,0.1065,1.0555555555555556,1.0129440041559827
ladder:ai:10k,6mo,p2a,0.15,0.093,0.8333333333333333,0.9255083233367793
ladder:ai:10k,6mo,p2b,0.13,0.0885,0.7222222222222222,0.8738628975053029
ladder:ai:10k,6mo,p3a,0.12,0.0895,0.6666666666666666,0.8906926143924925
ladder:ai:10k,6mo,p3b,0.09,0.084,0.49999999999999983,0.8287754140107483
ladder:ai:10k,6mo,p4,0.11,0.089,0.6111111111111112,0.8876253645985948
ladder:ai:10k,6mo,p5,0.065,0.075,0.36111111111111105,0.726483157256779
ladder:ai:10k,6mo,eci_p10,0.11,0.0775,0.6111111111111112,0.7687061147858073
ladder:ai:10k,6mo,eci_p25,0.14,0.09,0.7777777777777778,0.8989331499509895
ladder:ai:10k,6mo,eci_p50,0.17,0.099,0.9444444444444445,0.9908673886137245
ladder:ai:10k,6mo,eci_p75,0.23,0.11699999999999999,1.2777777777777777,1.1399539242859553
ladder:ai:10k,6mo,eci_p90,0.31,0.14150000000000001,1.722222222222222,1.422048600513436
ladder:ai:10k,12mo,unconditional,0.32,0.21000000000000002,1.0,1.0
ladder:ai:10k,12mo,sq,0.33,0.2185,1.03125,1.0099724480885626
ladder:ai:10k,12mo,p1,0.35,0.2235,1.0937499999999998,1.0166899904028592
ladder:ai:10k,12mo,p2a,0.27,0.1965,0.84375,0.9334686049158998
ladder:ai:10k,12mo,p2b,0.22,0.1855,0.6875,0.8759410523960657
ladder:ai:10k,12mo,p3a,0.21,0.188,0.65625,0.8921373722185899
ladder:ai:10k,12mo,p3b,0.16,0.176,0.49999999999999994,0.8298411677160658
ladder:ai:10k,12mo,p4,0.2,0.186,0.625,0.8834333848426521
ladder:ai:10k,12mo,p5,0.115,0.1565,0.35937499999999994,0.7255092255537736
ladder:ai:10k,12mo,eci_p10,0.21,0.16699999999999998,0.65625,0.7920055096227091
ladder:ai:10k,12mo,eci_p25,0.26,0.191,0.8125000000000001,0.9090454534090341
ladder:ai:10k,12mo,eci_p50,0.31,0.20850000000000002,0.96875,0.9931584145359875
ladder:ai:10k,12mo,eci_p75,0.39,0.2425,1.21875,1.1347431627705653
ladder:ai:10k,12mo,eci_p90,0.49,0.28800000000000003,1.53125,1.3717937825410136
ladder:ai:10k,2028,unconditional,0.6,0.5549999999999999,1.0,1.0
ladder:ai:10k,2028,sq,0.64,0.58,1.0666666666666667,1.0386139842426843
ladder:ai:10k,2028,p1,0.66,0.589,1.1,1.0515631811579094
ladder:ai:10k,2028,p2a,0.54,0.53,0.9,0.9543926456422186
ladder:ai:10k,2028,p2b,0.44,0.502,0.7333333333333334,0.9005528555689499
ladder:ai:10k,2028,p3a,0.43,0.505,0.7166666666666667,0.9086442387617958
ladder:ai:10k,2028,p3b,0.34,0.47250000000000003,0.5666666666666668,0.8469394554034327
ladder:ai:10k,2028,p4,0.42,0.5065,0.7000000000000001,0.9111647546682445
ladder:ai:10k,2028,p5,0.25,0.4245,0.4166666666666667,0.7537587443157132
ladder:ai:10k,2028,eci_p10,0.45,0.47450000000000003,0.75,0.852051754638739
ladder:ai:10k,2028,eci_p25,0.52,0.5195000000000001,0.8666666666666668,0.9354752044630884
ladder:ai:10k,2028,eci_p50,0.59,0.5525,0.9833333333333333,0.9956803253779938
ladder:ai:10k,2028,eci_p75,0.68,0.612,1.1333333333333335,1.103610918397533
ladder:ai:10k,2028,eci_p90,0.77,0.6735,1.2833333333333334,1.2146899596659255
ladder:ai:10k,2030,unconditional,0.78,0.77,1.0,1.0
ladder:ai:10k,2030,sq,0.83,0.799,1.064102564102564,1.03794669098819
ladder:ai:10k,2030,p1,0.85,0.804,1.0897435897435896,1.0444791567383045
ladder:ai:10k,2030,p2a,0.72,0.7525,0.923076923076923,0.9671683587392329
ladder:ai:10k,2030,p2b,0.62,0.7250000000000001,0.7948717948717948,0.9316477229483239
ladder:ai:10k,2030,p3a,0.61,0.7315,0.782051282051282,0.9384730722386622
ladder:ai:10k,2030,p3b,0.5,0.7,0.6410256410256411,0.892825969258351
ladder:ai:10k,2030,p4,0.6,0.733,0.7692307692307692,0.9408610482930633
ladder:ai:10k,2030,p5,0.38,0.641,0.48717948717948717,0.8090946460961557
ladder:ai:10k,2030,eci_p10,0.66,0.6825,0.8461538461538461,0.8849420110206082
ladder:ai:10k,2030,eci_p25,0.72,0.736,0.923076923076923,0.9555699472307785
ladder:ai:10k,2030,eci_p50,0.77,0.77,0.9871794871794871,0.9981690555284882
ladder:ai:10k,2030,eci_p75,0.84,0.818,1.0769230769230769,1.0626930204420288
ladder:ai:10k,2030,eci_p90,0.9,0.867,1.1538461538461537,1.1202772411534625
ladder:ai:10k,2050,unconditional,0.96,0.97,1.0,1.0
ladder:ai:10k,2050,sq,0.981,0.9804999999999999,1.021875,1.0051712042297245
ladder:ai:10k,2050,p1,0.985,0.981,1.0260416666666667,1.0046152830862127
ladder:ai:10k,2050,p2a,0.94,0.962,0.9791666666666666,0.9943689907046691
ladder:ai:10k,2050,p2b,0.89,0.953,0.9270833333333334,0.9877230579396858
ladder:ai:10k,2050,p3a,0.89,0.9555,0.9270833333333334,0.9913076609426416
ladder:ai:10k,2050,p3b,0.82,0.9495,0.8541666666666666,0.9836381901759615
ladder:ai:10k,2050,p4,0.87,0.956,0.90625,0.9913076609426416
ladder:ai:10k,2050,p5,0.72,0.938,0.75,0.9642193633116193
ladder:ai:10k,2050,eci_p10,0.93,0.9524999999999999,0.9687500000000001,0.9834844220522692
ladder:ai:10k,2050,eci_p25,0.947,0.959,0.9864583333333333,0.9937963686090882
ladder:ai:10k,2050,eci_p50,0.96,0.967,1.0,0.9994844031624248
ladder:ai:10k,2050,eci_p75,0.972,0.979,1.0125,1.0061870419869297
ladder:ai:10k,2050,eci_p90,0.985,0.985,1.0260416666666667,1.0108350736776734
ladder:ai:10k,2100,unconditional,0.987,0.9864999999999999,1.0,1.0
ladder:ai:10k,2100,sq,0.994,0.9895,1.0070921985815602,1.002048138044083
ladder:ai:10k,2100,p1,0.995,0.9894000000000001,1.0081053698074975,1.0009136158476357
ladder:ai:10k,2100,p2a,0.978,0.9844999999999999,0.9908814589665653,0.9984800078247787
ladder:ai:10k,2100,p2b,0.957,0.9804999999999999,0.9696048632218844,0.996420595501577
ladder:ai:10k,2100,p3a,0.96,0.981,0.9726443768996961,0.99693092618574
ladder:ai:10k,2100,p3b,0.929,0.9755,0.9412360688956434,0.9948848769417228
ladder:ai:10k,2100,p4,0.95,0.981,0.9625126646403241,0.9974436189047343
ladder:ai:10k,2100,p5,0.88,0.9695,0.8915906788247214,0.9893814735066475
ladder:ai:10k,2100,eci_p10,0.972,0.982,0.9848024316109423,0.9949184903941293
ladder:ai:10k,2100,eci_p25,0.98,0.984,0.9929078014184397,0.998464021850764
ladder:ai:10k,2100,eci_p50,0.987,0.9864999999999999,1.0,1.0
ladder:ai:10k,2100,eci_p75,0.992,0.989,1.005065856129686,1.0015357124733484
ladder:ai:10k,2100,eci_p90,0.995,0.9904999999999999,1.0081053698074975,1.003071160491067
ladder:ai:100k,6mo,unconditional,0.035,0.016,1.0,1.0
ladder:ai:100k,6mo,sq,0.034,0.0168,0.9714285714285713,1.0119782606360672
ladder:ai:100k,6mo,p1,0.037,0.0173,1.0571428571428572,1.0087120500916007
ladder:ai:100k,6mo,p2a,0.028,0.014599999999999998,0.8,0.8944271909999161
ladder:ai:100k,6mo,p2b,0.023,0.0135,0.6571428571428569,0.8227241335952169
ladder:ai:100k,6mo,p3a,0.021,0.0137,0.6000000000000001,0.8306623862918074
ladder:ai:100k,6mo,p3b,0.016,0.012499999999999999,0.45714285714285696,0.7245688373094721
ladder:ai:100k,6mo,p4,0.02,0.013499999999999998,0.5714285714285714,0.8215838362577492
ladder:ai:100k,6mo,p5,0.011,0.011000000000000001,0.3142857142857144,0.5951190357119044
ladder:ai:100k,6mo,eci_p10,0.018,0.0115,0.5142857142857142,0.6831300510639733
ladder:ai:100k,6mo,eci_p25,0.025,0.013499999999999998,0.7142857142857143,0.8215838362577492
ladder:ai:100k,6mo,eci_p50,0.031,0.0158,0.8857142857142855,0.9899494936611665
ladder:ai:100k,6mo,eci_p75,0.048,0.02,1.3714285714285714,1.1500000000000001
ladder:ai:100k,6mo,eci_p90,0.075,0.025500000000000002,2.1428571428571423,1.4811313243598623
ladder:ai:100k,12mo,unconditional,0.075,0.0375,1.0,1.0
ladder:ai:100k,12mo,sq,0.079,0.039999999999999994,1.0533333333333332,1.0240442698763892
ladder:ai:100k,12mo,p1,0.085,0.040999999999999995,1.1333333333333335,1.0136567466356647
ladder:ai:100k,12mo,p2a,0.061,0.034,0.8133333333333334,0.8923543557893894
ladder:ai:100k,12mo,p2b,0.048,0.032,0.64,0.8199986141895164
ladder:ai:100k,12mo,p3a,0.043,0.03225,0.5733333333333333,0.8408549441116684
ladder:ai:100k,12mo,p3b,0.032,0.03,0.4266666666666668,0.7581226813649622
ladder:ai:100k,12mo,p4,0.042,0.032,0.5599999999999999,0.8357742030707327
ladder:ai:100k,12mo,p5,0.021,0.02575,0.2800000000000001,0.6088848337253447
ladder:ai:100k,12mo,eci_p10,0.041,0.027499999999999997,0.5466666666666666,0.6983313444681306
ladder:ai:100k,12mo,eci_p25,0.055,0.0325,0.7333333333333334,0.8390470785361214
ladder:ai:100k,12mo,eci_p50,0.069,0.037,0.9200000000000002,0.9888264649460884
ladder:ai:100k,12mo,eci_p75,0.1,0.047,1.3333333333333337,1.1607207792026157
ladder:ai:100k,12mo,eci_p90,0.145,0.06,1.9333333333333336,1.521363025232786
ladder:ai:100k,2028,unconditional,0.21,0.14,1.0,1.0
ladder:ai:100k,2028,sq,0.24,0.15000000000000002,1.1428571428571428,1.044465935734187
ladder:ai:100k,2028,p1,0.26,0.15450000000000003,1.2380952380952381,1.0284609660861643
ladder:ai:100k,2028,p2a,0.17,0.1265,0.8095238095238095,0.895920642016604
ladder:ai:100k,2028,p2b,0.13,0.11699999999999999,0.6190476190476191,0.8066567963922299
ladder:ai:100k,2028,p3a,0.125,0.11699999999999999,0.5952380952380953,0.8250101279559823
ladder:ai:100k,2028,p3b,0.091,0.1055,0.4333333333333333,0.726503604004148
ladder:ai:100k,2028,p4,0.12,0.1185,0.5714285714285714,0.8353807291090959
ladder:ai:100k,2028,p5,0.061,0.089,0.29047619047619044,0.5850179393017045
ladder:ai:100k,2028,eci_p10,0.13,0.10400000000000001,0.6190476190476191,0.6866495491193343
ladder:ai:100k,2028,eci_p25,0.165,0.1205,0.7857142857142858,0.8377458933460561
ladder:ai:100k,2028,eci_p50,0.195,0.1385,0.9285714285714286,0.9911371959403353
ladder:ai:100k,2028,eci_p75,0.27,0.1735,1.2857142857142858,1.1772041375923652
ladder:ai:100k,2028,eci_p90,0.35,0.21450000000000002,1.6666666666666663,1.5536334653658754
ladder:ai:100k,2030,unconditional,0.36,0.29000000000000004,1.0,1.0
ladder:ai:100k,2030,sq,0.43,0.3085,1.1944444444444444,1.0629891560810703
ladder:ai:100k,2030,p1,0.46,0.316,1.277777777777778,1.0767317917435852
ladder:ai:100k,2030,p2a,0.3,0.26,0.8333333333333333,0.8944271909999159
ladder:ai:100k,2030,p2b,0.23,0.2355,0.638888888888889,0.8030547737838121
ladder:ai:100k,2030,p3a,0.225,0.2365,0.625,0.823962463595364
ladder:ai:100k,2030,p3b,0.17,0.21100000000000002,0.4722222222222223,0.7275252086992788
ladder:ai:100k,2030,p4,0.22,0.239,0.6111111111111112,0.8312094145936335
ladder:ai:100k,2030,p5,0.115,0.174,0.3194444444444444,0.5877538136452587
ladder:ai:100k,2030,eci_p10,0.25,0.21650000000000003,0.6944444444444445,0.7013500494702285
ladder:ai:100k,2030,eci_p25,0.3,0.2535,0.8333333333333333,0.8555594555505667
ladder:ai:100k,2030,eci_p50,0.34,0.28300000000000003,0.9444444444444446,0.9939209163101398
ladder:ai:100k,2030,eci_p75,0.44,0.3405,1.2222222222222223,1.1712778884158497
ladder:ai:100k,2030,eci_p90,0.54,0.409,1.5000000000000002,1.4767385539616538
ladder:ai:100k,2050,unconditional,0.73,0.8049999999999999,1.0,1.0
ladder:ai:100k,2050,sq,0.83,0.86,1.136986301369863,1.0370412457827054
ladder:ai:100k,2050,p1,0.85,0.872,1.1643835616438356,1.0306220539954587
ladder:ai:100k,2050,p2a,0.68,0.7815,0.9315068493150686,0.9613660067479405
ladder:ai:100k,2050,p2b,0.57,0.748,0.7808219178082191,0.9127879371364513
ladder:ai:100k,2050,p3a,0.58,0.7605,0.7945205479452054,0.9341987329938276
ladder:ai:100k,2050,p3b,0.46,0.719,0.6301369863013699,0.8818126688178735
ladder:ai:100k,2050,p4,0.55,0.7625,0.7534246575342466,0.9341987329938276
ladder:ai:100k,2050,p5,0.33,0.642,0.4520547945205479,0.7884527595301416
ladder:ai:100k,2050,eci_p10,0.63,0.702,0.863013698630137,0.8628353542158831
