model,status,question,horizon,condition,fresh_probability,authors_panel_median,matched_baseline_probability,matched_baseline
GPT-6 Astra,complete,ladder:ai:100,6mo,eci_p10,0.88,0.8734999999999999,0.83,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,6mo,eci_p10,0.95,0.8734999999999999,0.917,Original Opus 5
Fable 5.1,refused,ladder:ai:100,6mo,eci_p10,,0.8734999999999999,0.946,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,6mo,eci_p10,0.35,0.8734999999999999,0.12,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,6mo,eci_p25,0.91,0.8895,0.86,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,6mo,eci_p25,0.955,0.8895,0.919,Original Opus 5
Fable 5.1,refused,ladder:ai:100,6mo,eci_p25,,0.8895,0.948,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,6mo,eci_p25,0.525,0.8895,0.135,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,6mo,eci_p50,0.94,0.905,0.89,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,6mo,eci_p50,0.96,0.905,0.92,Original Opus 5
Fable 5.1,refused,ladder:ai:100,6mo,eci_p50,,0.905,0.95,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,6mo,eci_p50,0.7,0.905,0.15,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,6mo,eci_p75,0.965,0.9255,0.93,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,6mo,eci_p75,0.968,0.9255,0.921,Original Opus 5
Fable 5.1,refused,ladder:ai:100,6mo,eci_p75,,0.9255,0.952,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,6mo,eci_p75,0.99,0.9255,0.172,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,6mo,eci_p90,0.98,0.938,0.96,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,6mo,eci_p90,0.975,0.938,0.922,Original Opus 5
Fable 5.1,refused,ladder:ai:100,6mo,eci_p90,,0.938,0.954,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,6mo,eci_p90,0.99,0.938,0.202,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,12mo,unconditional,0.985,0.9675,0.978,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,12mo,unconditional,0.98,0.9675,0.96,Original Opus 5
Fable 5.1,refused,ladder:ai:100,12mo,unconditional,,0.9675,0.975,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,12mo,unconditional,0.85,0.9675,0.25,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,12mo,sq,0.986,0.968,0.98,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,12mo,sq,0.98,0.968,0.961,Original Opus 5
Fable 5.1,refused,ladder:ai:100,12mo,sq,,0.968,0.975,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,12mo,sq,0.85,0.968,0.25,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,12mo,p1,0.988,0.9675,0.983,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,12mo,p1,0.98,0.9675,0.96,Original Opus 5
Fable 5.1,refused,ladder:ai:100,12mo,p1,,0.9675,0.975,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,12mo,p1,0.8925,0.9675,0.262,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,12mo,p2a,0.978,0.9664999999999999,0.973,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,12mo,p2a,0.978,0.9664999999999999,0.96,Original Opus 5
Fable 5.1,refused,ladder:ai:100,12mo,p2a,,0.9664999999999999,0.975,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,12mo,p2a,0.765,0.9664999999999999,0.237,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,12mo,p2b,0.965,0.963,0.967,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,12mo,p2b,0.97,0.963,0.959,Original Opus 5
Fable 5.1,refused,ladder:ai:100,12mo,p2b,,0.963,0.975,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,12mo,p2b,0.51,0.963,0.212,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,12mo,p3a,0.96,0.9615,0.963,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,12mo,p3a,0.975,0.9615,0.96,Original Opus 5
Fable 5.1,refused,ladder:ai:100,12mo,p3a,,0.9615,0.974,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,12mo,p3a,0.7225,0.9615,0.225,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,12mo,p3b,0.94,0.9544999999999999,0.95,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,12mo,p3b,0.968,0.9544999999999999,0.959,Original Opus 5
Fable 5.1,refused,ladder:ai:100,12mo,p3b,,0.9544999999999999,0.974,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,12mo,p3b,0.595,0.9544999999999999,0.2,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,12mo,p4,0.955,0.9624999999999999,0.965,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,12mo,p4,0.975,0.9624999999999999,0.96,Original Opus 5
Fable 5.1,refused,ladder:ai:100,12mo,p4,,0.9624999999999999,0.973,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,12mo,p4,0.68,0.9624999999999999,0.212,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,12mo,p5,0.9,0.944,0.93,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,12mo,p5,0.955,0.944,0.958,Original Opus 5
Fable 5.1,refused,ladder:ai:100,12mo,p5,,0.944,0.973,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,12mo,p5,0.34,0.944,0.15,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,12mo,eci_p10,0.96,0.949,0.94,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,12mo,eci_p10,0.972,0.949,0.958,Original Opus 5
Fable 5.1,refused,ladder:ai:100,12mo,eci_p10,,0.949,0.973,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,12mo,eci_p10,0.425,0.949,0.2,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,12mo,eci_p25,0.975,0.962,0.965,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,12mo,eci_p25,0.976,0.962,0.959,Original Opus 5
Fable 5.1,refused,ladder:ai:100,12mo,eci_p25,,0.962,0.974,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,12mo,eci_p25,0.6375,0.962,0.225,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,12mo,eci_p50,0.985,0.9675,0.976,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,12mo,eci_p50,0.98,0.9675,0.96,Original Opus 5
Fable 5.1,refused,ladder:ai:100,12mo,eci_p50,,0.9675,0.975,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,12mo,eci_p50,0.85,0.9675,0.25,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,12mo,eci_p75,0.993,0.9684999999999999,0.987,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,12mo,eci_p75,0.984,0.9684999999999999,0.961,Original Opus 5
Fable 5.1,refused,ladder:ai:100,12mo,eci_p75,,0.9684999999999999,0.976,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,12mo,eci_p75,0.99,0.9684999999999999,0.287,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,12mo,eci_p90,0.997,0.969,0.996,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,12mo,eci_p90,0.988,0.969,0.961,Original Opus 5
Fable 5.1,refused,ladder:ai:100,12mo,eci_p90,,0.969,0.977,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,12mo,eci_p90,0.99,0.969,0.337,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2028,unconditional,0.998,0.9915,0.998,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2028,unconditional,0.99,0.9915,0.99,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2028,unconditional,,0.9915,0.993,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2028,unconditional,0.98,0.9915,0.4,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2028,sq,0.999,0.993,0.999,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2028,sq,0.99,0.993,0.99,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2028,sq,,0.993,0.993,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2028,sq,0.98,0.993,0.4,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2028,p1,0.9991,0.9935,0.9992,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2028,p1,0.99,0.9935,0.99,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2028,p1,,0.9935,0.993,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2028,p1,0.99,0.9935,0.42,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2028,p2a,0.996,0.9914000000000001,0.997,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2028,p2a,0.989,0.9914000000000001,0.99,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2028,p2a,,0.9914000000000001,0.9928,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2028,p2a,0.882,0.9914000000000001,0.38,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2028,p2b,0.991,0.99135,0.996,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2028,p2b,0.985,0.99135,0.99,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2028,p2b,,0.99135,0.9927,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2028,p2b,0.588,0.99135,0.34,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2028,p3a,0.99,0.9913000000000001,0.996,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2028,p3a,0.988,0.9913000000000001,0.99,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2028,p3a,,0.9913000000000001,0.9926,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2028,p3a,0.833,0.9913000000000001,0.36,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2028,p3b,0.98,0.9913000000000001,0.993,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2028,p3b,0.983,0.9913000000000001,0.99,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2028,p3b,,0.9913000000000001,0.9926,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2028,p3b,0.686,0.9913000000000001,0.32,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2028,p4,0.988,0.9912,0.996,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2028,p4,0.988,0.9912,0.99,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2028,p4,,0.9912,0.9924,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2028,p4,0.784,0.9912,0.34,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2028,p5,0.96,0.987,0.985,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2028,p5,0.975,0.987,0.989,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2028,p5,,0.987,0.9921,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2028,p5,0.392,0.987,0.24,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2028,eci_p10,0.991,0.99,0.991,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2028,eci_p10,0.986,0.99,0.989,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2028,eci_p10,,0.99,0.9922,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2028,eci_p10,0.49,0.99,0.32,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2028,eci_p25,0.995,0.9913000000000001,0.996,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2028,eci_p25,0.988,0.9913000000000001,0.99,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2028,eci_p25,,0.9913000000000001,0.9926,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2028,eci_p25,0.735,0.9913000000000001,0.36,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2028,eci_p50,0.998,0.9915,0.998,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2028,eci_p50,0.99,0.9915,0.99,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2028,eci_p50,,0.9915,0.993,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2028,eci_p50,0.98,0.9915,0.4,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2028,eci_p75,0.999,0.9937,0.9992,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2028,eci_p75,0.993,0.9937,0.99,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2028,eci_p75,,0.9937,0.9934,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2028,eci_p75,0.99,0.9937,0.46,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2028,eci_p90,0.9995,0.9954000000000001,0.9997,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2028,eci_p90,0.995,0.9954000000000001,0.99,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2028,eci_p90,,0.9954000000000001,0.9938,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2028,eci_p90,0.99,0.9954000000000001,0.54,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2030,unconditional,0.9995,0.9975,0.9997,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2030,unconditional,0.995,0.9975,0.995,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2030,unconditional,,0.9975,0.997,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2030,unconditional,0.99,0.9975,0.6,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2030,sq,0.9997,0.99775,0.9998,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2030,sq,0.995,0.99775,0.9951,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2030,sq,,0.99775,0.997,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2030,sq,0.99,0.99775,0.6,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2030,p1,0.9998,0.99785,0.99985,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2030,p1,0.995,0.99785,0.995,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2030,p1,,0.99785,0.997,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2030,p1,0.99,0.99785,0.63,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2030,p2a,0.999,0.9969,0.9995,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2030,p2a,0.994,0.9969,0.995,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2030,p2a,,0.9969,0.9968,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2030,p2a,0.891,0.9969,0.57,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2030,p2b,0.997,0.9959,0.998,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2030,p2b,0.99,0.9959,0.9949,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2030,p2b,,0.9959,0.9968,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2030,p2b,0.594,0.9959,0.51,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2030,p3a,0.996,0.9964,0.998,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2030,p3a,0.993,0.9964,0.9949,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2030,p3a,,0.9964,0.9968,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2030,p3a,0.8415,0.9964,0.54,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2030,p3b,0.991,0.9954000000000001,0.996,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2030,p3b,0.99,0.9954000000000001,0.9948,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2030,p3b,,0.9954000000000001,0.9967,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2030,p3b,0.693,0.9954000000000001,0.48,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2030,p4,0.995,0.9963500000000001,0.998,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2030,p4,0.993,0.9963500000000001,0.9949,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2030,p4,,0.9963500000000001,0.9967,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2030,p4,0.792,0.9963500000000001,0.51,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2030,p5,0.98,0.9943500000000001,0.994,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2030,p5,0.985,0.9943500000000001,0.9947,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2030,p5,,0.9943500000000001,0.9964,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2030,p5,0.396,0.9943500000000001,0.36,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2030,eci_p10,0.998,0.99575,0.998,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2030,eci_p10,0.992,0.99575,0.9947,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2030,eci_p10,,0.99575,0.9968,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2030,eci_p10,0.495,0.99575,0.48,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2030,eci_p25,0.999,0.99695,0.999,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2030,eci_p25,0.994,0.99695,0.9949,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2030,eci_p25,,0.99695,0.9969,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2030,eci_p25,0.7425,0.99695,0.54,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2030,eci_p50,0.9995,0.9975,0.9996,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2030,eci_p50,0.995,0.9975,0.995,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2030,eci_p50,,0.9975,0.997,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2030,eci_p50,0.99,0.9975,0.6,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2030,eci_p75,0.9997,0.99805,0.9998,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2030,eci_p75,0.996,0.99805,0.995,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2030,eci_p75,,0.99805,0.9971,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2030,eci_p75,0.99,0.99805,0.69,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2030,eci_p90,0.9999,0.99835,0.9999,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2030,eci_p90,0.997,0.99835,0.9951,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2030,eci_p90,,0.99835,0.9973,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2030,eci_p90,0.99,0.99835,0.81,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2050,unconditional,0.9999,0.9994000000000001,0.99995,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2050,unconditional,0.997,0.9994000000000001,0.998,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2050,unconditional,,0.9994000000000001,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2050,unconditional,0.99,0.9994000000000001,0.85,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2050,sq,0.99995,0.999425,0.99997,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2050,sq,0.997,0.999425,0.9981,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2050,sq,,0.999425,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2050,sq,0.99,0.999425,0.85,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2050,p1,0.99996,0.99945,0.99998,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2050,p1,0.997,0.99945,0.998,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2050,p1,,0.99945,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2050,p1,0.99,0.99945,0.892,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2050,p2a,0.9998,0.9993000000000001,0.9999,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2050,p2a,0.996,0.9993000000000001,0.998,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2050,p2a,,0.9993000000000001,0.9989,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2050,p2a,0.891,0.9993000000000001,0.807,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2050,p2b,0.9995,0.9992000000000001,0.99985,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2050,p2b,0.994,0.9992000000000001,0.9979,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2050,p2b,,0.9992000000000001,0.9989,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2050,p2b,0.594,0.9992000000000001,0.722,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2050,p3a,0.9994,0.99925,0.99985,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2050,p3a,0.996,0.99925,0.998,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2050,p3a,,0.99925,0.9989,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2050,p3a,0.8415,0.99925,0.765,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2050,p3b,0.999,0.99915,0.9997,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2050,p3b,0.994,0.99915,0.9979,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2050,p3b,,0.99915,0.9989,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2050,p3b,0.693,0.99915,0.68,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2050,p4,0.9993,0.99925,0.99985,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2050,p4,0.996,0.99925,0.998,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2050,p4,,0.99925,0.9989,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2050,p4,0.792,0.99925,0.722,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2050,p5,0.997,0.9984,0.9995,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2050,p5,0.99,0.9984,0.9979,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2050,p5,,0.9984,0.9988,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2050,p5,0.396,0.9984,0.51,Initial Gemini pilot
